article_id,dataset_id,type_true,type_pred,cat_id,cat_type,cat_article_id
10.1186_s12918-018-0564-z,https://doi.org/10.1634/theoncologist.2010-0379,,Primary,FP,FP,FP
10.1186_s12881-019-0773-3,https://doi.org/10.1176/ajp.156.6.876,,Primary,FP,FP,FP
10.1186_s13059-018-1557-3,GSE119466,,Secondary,FP,FP,FP
10.1186_s13326-019-0195-3,https://doi.org/10.1197/jamia.m2107,,Primary,FP,FP,FP
10.1073_pnas.1915395117,https://doi.org/10.6073/pasta/1a5760c3146c574c98db854ad6d3addc,Primary,Primary,TP,TP,TP
10.3389_fmicb.2024.1456637,SAMN33094102,,Primary,FP,FP,TP
10.1128_JVI.01717-21,EPI_ISL_332399,Primary,,TP,FN,TP
10.1186_s40657-020-00194-w,https://doi.org/10.5281/zenodo.3525340,,Primary,FP,FP,FP
10.1590_fst.36617,https://doi.org/10.3746/jkfn.2017.46.4.465,,Primary,FP,FP,FP
10.1186_s13072-019-0285-6,GSE98967,,Secondary,FP,FP,FP
10.1128_spectrum.00422-24,K06595,,Secondary,FP,FP,TP
10.1617_s11527-023-02260-3,https://doi.org/10.21809/rilemtechlett.2021.138,,Primary,FP,FP,TP
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.txwcpa,Secondary,,TP,FN,TP
10.1101_2022.07.21.501061,https://doi.org/10.15468/dl.354f8k,Primary,Primary,TP,TP,TP
10.1371_journal.pone.0159387,PRJNA16148,Secondary,Secondary,TP,TP,TP
10.3389_fmicb.2024.1456637,SAMN07159041,,Primary,TP,FP,TP
10.3389_fevo.2023.1112519,https://doi.org/10.23818/limn.33.22,,Primary,FP,FP,TP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr37065.v2,Secondary,,TP,FN,TP
10.1038_s41598-020-59839-x,ENSBTAG00000021275,Secondary,Secondary,TP,TP,TP
10.1038_s41893-020-0559-9,https://doi.org/10.4000/rga.630,,Primary,FP,FP,TP
10.1186_s12859-018-2263-6,GSE83083,,Secondary,FP,FP,FP
10.1038_s41598-020-59839-x,ENSBTAG00000009139,,Secondary,FP,FP,TP
10.1186_s12859-016-0922-z,SRR950082,,Secondary,FP,FP,FP
10.1186_s12967-020-02311-1,GSE31312,,Secondary,FP,FP,FP
10.1186_s13071-018-3237-2,https://doi.org/10.3376/1081-1710,,Primary,FP,FP,FP
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.cb2hsf,Secondary,,TP,FN,TP
10.3133_cir1497,https://doi.org/10.5066/p92bghw1,Secondary,,TP,FN,TP
10.1371_journal.pone.0117675,https://doi.org/10.5061/dryad.7pd40,Primary,Primary,TP,TP,TP
10.1111_cas.12935,Q08629,Secondary,,FN,FN,TP
10.1186_s12920-018-0403-5,https://doi.org/10.1677/erc.0.0080047,,Primary,FP,FP,FP
10.1371_journal.pone.0212669,E-GEOD-53890,Secondary,Secondary,TP,TP,TP
10.1128_spectrum.00422-24,K02391,Secondary,Secondary,TP,TP,TP
10.3389_fmicb.2024.1456637,https://doi.org/10.7883/yoken.65.203,,Primary,FP,FP,TP
10.1073_pnas.1915395117,https://doi.org/10.6073/pasta/57108aaeede00e77cac110bc5366a92b,Primary,Primary,TP,TP,TP
10.1371_journal.pone.0146274,ENSCAFG00000013506,,Secondary,FP,FP,TP
10.7554_eLife.63194,PF00078,Secondary,Secondary,TP,TP,TP
10.12688_f1000research.13064.1,https://doi.org/10.5256/f1000research.14708.r29259,,Primary,FP,FP,TP
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.qgemaq,Secondary,,TP,FN,TP
10.12688_f1000research.11698.1,https://doi.org/10.5256/f1000research.15389.r31598,,Primary,FP,FP,TP
10.1016_j.ast.2022.107401,https://doi.org/10.17862/cranfield,,Primary,FP,FP,TP
10.7554_elife.74937,https://doi.org/10.1085/jgp.63.1.37,,Primary,FP,FP,TP
10.3133_cir1497,https://doi.org/10.5066/p99onunm,,Primary,TP,FP,TP
10.3389_fcell.2020.618552,E-MTAB-7862,,Secondary,FP,FP,TP
10.1016_j.molcel.2018.11.006,HPA042816,,Secondary,FP,FP,TP
10.1186_s13059-020-1949-z,GSM2396859,,Secondary,FP,FP,FP
10.1007_s00382-022-06361-7,https://doi.org/10.6075/j0891,,Primary,FP,FP,TP
10.5937_bnhmb1811227u,https://doi.org/10.15468/dl,,Primary,FP,FP,TP
10.1186_s12870-019-1632-2,PRJNA499783,,Secondary,FP,FP,FP
10.5194_acp-22-5701-2022,https://doi.org/10.6096/aeroclo.1777,Secondary,,TP,FN,TP
10.5194_tc-17-3617-2023,https://doi.org/10.5067/modis/mod10a1f.061,Secondary,,TP,FN,TP
10.1186_s12859-016-0922-z,SRR950079,,Secondary,FP,FP,FP
10.1038_s41598-021-85671-y,https://doi.org/10.7937/k9/tcia.2017.8oje5q00,,Primary,TP,FP,TP
10.1101_2022.07.21.501061,https://doi.org/10.15468/dl.nbku3v,Primary,Primary,TP,TP,TP
10.1111_cas.12935,P53004,Secondary,,FN,FN,TP
10.3389_fevo.2023.1112519,https://doi.org/10.4081/jlimnol.2016.1503,,Primary,FP,FP,TP
10.1140_epjc_s10052-016-4366-4,https://doi.org/10.5170/cern-2011-006,,Primary,FP,FP,FP
10.1038_s41598-020-59839-x,NM_001078656,Secondary,Secondary,TP,TP,TP
10.1002_mp.14424,https://doi.org/10.7937/tcia.2020.6c7ygq39,,Primary,FP,FP,TP
10.1021_jacs.2c06519,https://doi.org/10.25377/sussex.21184705.v1,Primary,,FN,FN,TP
10.1107_s2059798322005691,https://doi.org/10.18150/6oxplo,Primary,Primary,TP,TP,TP
10.1186_s12864-019-6131-1,SRR2028057,,Secondary,FP,FP,FP
10.1002_cssc.202201821,https://doi.org/10.26434/chemrxiv-2022-lrsjd-v2,,Primary,FP,FP,FP
10.1186_s13072-019-0285-6,GSE98966,,Secondary,FP,FP,FP
10.1186_s12864-019-6131-1,SRR7194798,,Secondary,FP,FP,FP
10.3897_neobiota.82.87455,https://doi.org/10.15468/dl.yu2xpv,Secondary,,TP,FN,TP
10.1130_ges01387.1,https://doi.org/10.5066/f7930r7p,,Primary,FP,FP,TP
10.1038_s41598-020-59839-x,ENSOARG00000002898,,Secondary,FP,FP,TP
10.1111_eva.12151,https://doi.org/10.5061/dryad.3978f,Primary,Primary,TP,TP,TP
10.1371_journal.pone.0212669,E-GEOD-54543,Secondary,Secondary,TP,TP,TP
10.1371_journal.pone.0159387,PRJNA65041,Secondary,Secondary,TP,TP,TP
10.7717_peerj.10452,SAMN16233646,Primary,Primary,TP,TP,TP
10.5194_tc-17-3617-2023,https://doi.org/10.24381/cds.6a6d1bc3,,Primary,TP,FP,TP
10.1128_spectrum.00422-24,K02409,Secondary,Secondary,TP,TP,TP
10.1128_spectrum.00422-24,K02420,,Secondary,FP,FP,TP
10.3389_fpls.2023.1160645,https://doi.org/10.15480/882.1784,,Primary,FP,FP,TP
10.1128_spectrum.00422-24,K02388,Secondary,Secondary,TP,TP,TP
10.1371_journal.pcbi.1011828,E-PROT-23,Secondary,Secondary,TP,TP,TP
10.21105_joss.04237,https://doi.org/10.5067/gpm/imerg/3b-hh/06,,Primary,FP,FP,TP
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.nvnscr,Secondary,,TP,FN,TP
10.1021_acsomega.3c06074,https://doi.org/10.4155/fmc-2016-0093,,Primary,FP,FP,TP
10.1371_journal.pone.0212669,E-GEOD-48780,Secondary,Secondary,TP,TP,TP
10.5194_acp-22-5701-2022,https://doi.org/10.6096/aeroclo.1774,Primary,Primary,TP,TP,TP
10.1186_s12864-019-6131-1,ERX2234598,,Secondary,FP,FP,FP
10.1128_spectrum.00422-24,K02401,Secondary,Secondary,TP,TP,TP
10.1021_acsomega.3c06074,https://doi.org/10.1289/ehp5580,,Primary,FP,FP,TP
10.7554_eLife.72626,CHEMBL3347551,,Secondary,TP,FP,TP
10.1016_j.fuel.2022.125768,https://doi.org/10.11583/dtu.20555586,Primary,,FN,FN,FN
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.ucepps,,Primary,TP,FP,TP
10.1038_s41396-020-00885-8,IPR028730,Secondary,Secondary,TP,TP,TP
10.1038_s41597-023-02280-2,EMPIAR-10590,Secondary,Secondary,TP,TP,TP
10.1371_journal.pone.0253228,https://doi.org/10.5061/dryad.j0zpc86f2,Primary,Primary,TP,TP,TP
10.3389_fmicb.2024.1456637,SAMN08172567,Secondary,,TP,FN,TP
10.1128_JVI.01717-21,EPI_ISL_445092,,Secondary,TP,FP,TP
10.3389_fmicb.2024.1456637,SAMN12620694,,Primary,TP,FP,TP
10.1186_s12864-019-5872-1,ENSDARG00000076998,,Secondary,FP,FP,FP
10.1186_s13072-019-0285-6,GSE79033,,Secondary,FP,FP,FP
10.1038_s41598-024-56373-y,BX119912,Secondary,Secondary,TP,TP,TP
10.12688_f1000research.13064.1,https://doi.org/10.5256/f1000research.14163.r27920,,Primary,FP,FP,TP
10.7717_peerj.13193,https://doi.org/10.6073/pasta/275ad28a2f31356cf9c2648531a16a2b,,Primary,TP,FP,TP
10.1128_JVI.01717-21,EPI_ISL_293290,Primary,,TP,FN,TP
10.1128_JVI.01717-21,EPI_ISL_445091,Primary,,TP,FN,TP
10.1002_2017jc013030,https://doi.org/10.5670/oceanog.2011,,Primary,FP,FP,TP
10.3390_microorganisms8121872,CHEMBL408500,Secondary,Secondary,TP,TP,TP
10.1186_s12864-019-6131-1,SRR952232,,Secondary,FP,FP,FP
10.21105_joss.04237,https://doi.org/10.5281/zenodo.3822494,,Primary,FP,FP,TP
10.1007_s00442-022-05201-z,https://doi.org/10.5061/dryad.wpzgmsbps,Primary,Primary,TP,TP,TP
10.1128_spectrum.00422-24,K02408,,Secondary,FP,FP,TP
10.1617_s11527-023-02260-3,https://doi.org/10.24200/tjer.vol5iss1pp55-61,,Primary,FP,FP,TP
10.1038_s41396-020-00885-8,IPR021345,Secondary,Secondary,TP,TP,TP
10.1371_journal.pone.0146274,ENSG00000116044,,Secondary,FP,FP,TP
10.3390_v11060565,EPI1019556,Secondary,Secondary,TP,TP,TP
10.7717_peerj.10452,SAMN16233642,Primary,Primary,TP,TP,TP
10.1080_21645515.2023.2189598,ENSMMUT00000003274,Secondary,Secondary,TP,TP,TP
10.1186_s12864-019-6131-1,PRJEB27670,,Secondary,FP,FP,FP
10.1371_journal.pcbi.1011828,E-PROT-100,Secondary,Secondary,TP,TP,TP
10.1038_s41597-023-02280-2,https://doi.org/10.5281/zenodo.7934683,,Primary,FP,FP,TP
10.7554_eLife.63194,SRR7962068,Secondary,Secondary,TP,TP,TP
10.1371_journal.pone.0146274,ENSPTRG00000012677,,Secondary,FP,FP,TP
10.5194_amt-15-3969-2022,https://doi.org/10.5281/zenodo.5501399,,Primary,FP,FP,TP
10.1111_ddi.13153,https://doi.org/10.4322/natcon.00801003,,Primary,FP,FP,FP
10.1038_s41396-020-00885-8,IPR005524,Secondary,Secondary,TP,TP,TP
10.1002_ecs2.4619,https://doi.org/10.6073/pasta/d835832d7fd00d9e4466e44eea87fab3,,Primary,FP,FP,TP
10.3133_ofr20231026,https://doi.org/10.5066/p918e2p3,Secondary,,TP,FN,TP
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.6qzmh7,Secondary,,TP,FN,TP
10.3133_cir1497,https://doi.org/10.5066/p9hdxe32,Secondary,,TP,FN,TP
10.1111_njb.02077,https://doi.org/10.5061/dryad.2gh0ht2,Primary,Primary,TP,TP,TP
10.7554_eLife.72626,CHEMBL3347550,,Secondary,TP,FP,TP
10.3133_cir1497,https://doi.org/10.1578/am.46.2.2020.200,,Primary,FP,FP,TP
10.1128_JVI.01717-21,EPI_ISL_332358,Primary,,TP,FN,TP
10.3133_cir1497,https://doi.org/10.5066/p9fz4ojw,Secondary,,TP,FN,TP
10.1007_s00259-022-06053-8,https://doi.org/10.7937/k9/tcia.2017.7hs46erv,,Primary,TP,FP,TP
10.3897_neobiota.82.87455,https://doi.org/10.3391/bir.2020.9.4.06,,Primary,FP,FP,TP
10.5194_acp-22-2769-2022,https://doi.org/10.5067/suborbital/oracles/p3/2017_v2,Secondary,,TP,FN,TP
10.1186_s12859-016-0922-z,GSM1722952,,Secondary,FP,FP,FP
10.1128_JVI.01717-21,EPI_ISL_445052,Primary,,TP,FN,TP
10.1111_cas.12935,P17900,Secondary,,FN,FN,TP
10.5194_acp-22-2769-2022,https://doi.org/10.5067/suborbital/oracles/p3/2018_v2,Secondary,,TP,FN,TP
10.1186_s11689-019-9287-8,https://doi.org/10.1348/026151001166128,,Primary,FP,FP,FP
10.1038_s41598-021-85671-y,https://doi.org/10.7937/tcia.2019.8dho2gls,,Primary,TP,FP,TP
10.1111_mec.16743,https://doi.org/10.5066/p93r9uel,,Primary,TP,FP,TP
10.1186_s13039-022-00631-z,https://doi.org/10.31557/apjcp.2021.22.6.1957,,Primary,FP,FP,TP
10.3389_fmicb.2024.1456637,NC_017643.1,Secondary,Secondary,TP,TP,TP
10.1038_s41597-019-0101-y,SAMN10880023,,Primary,FP,FP,TP
10.1186_s13072-019-0285-6,GSE100723,,Secondary,FP,FP,FP
10.1371_journal.pone.0212669,E-GEOD-63626,Secondary,Secondary,TP,TP,TP
10.12688_f1000research.10556.1,https://doi.org/10.5256/f1000research.10556.d148743,Primary,Primary,TP,TP,TP
10.1186_s12864-019-6324-7,https://doi.org/10.32614/rj-2013-014,,Primary,FP,FP,FP
10.1186_s12920-018-0426-y,https://doi.org/10.4061/2009/869093,,Primary,FP,FP,FP
10.1186_s12920-019-0628-y,GSE62564,,Secondary,FP,FP,FP
10.1186_s13058-015-0618-8,https://doi.org/10.1198/jasa.2010.tm09415,,Primary,FP,FP,FP
10.1080_21645515.2023.2189598,ENSMMUT00000023562,,Secondary,FP,FP,TP
10.1186_s12859-016-0922-z,SRR873838,,Secondary,FP,FP,FP
10.1186_s12870-018-1542-8,https://doi.org/10.1211/0022357022313,,Primary,FP,FP,FP
10.3389_fcell.2020.618552,E-MTAB-9077,,Secondary,FP,FP,TP
10.21203_rs.3.rs-3338732_v1,https://doi.org/10.5281/zenodo.2556738,,Primary,FP,FP,TP
10.1186_s12885-017-3237-1,SRP101418,,Secondary,FP,FP,FP
10.1186_s13024-018-0254-8,GSE101689,,Secondary,FP,FP,FP
10.5194_essd-12-1287-2020,https://doi.org/10.17882/70340,Primary,Primary,TP,TP,TP
10.1111_ddi.13153,https://doi.org/10.129331/therya-17-478,,Primary,FP,FP,FP
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.ucepps,Secondary,,TP,FN,TP
10.12688_f1000research.13483.1,https://doi.org/10.5256/f1000research.17803.r38477,,Primary,FP,FP,TP
10.1371_journal.pone.0212669,E-GEOD-53224,Secondary,Secondary,TP,TP,TP
10.5194_gmd-13-335-2020,https://doi.org/10.5281/zenodo.3548147,,Primary,FP,FP,TP
10.1371_journal.pcbi.1011828,E-PROT-106,Secondary,Secondary,TP,TP,TP
10.1111_eva.12768,https://doi.org/10.5061/dryad.rf79641,Primary,Primary,TP,TP,TP
10.3390_d13010019,https://doi.org/10.2112/1551-5036,,Primary,FP,FP,TP
10.1186_s12859-016-0922-z,SRR950084,,Secondary,FP,FP,FP
10.1186_s12859-016-0922-z,SRR950087,,Secondary,FP,FP,FP
10.1371_journal.pcbi.1011828,PXD019504,Secondary,Secondary,TP,TP,TP
10.1016_j.ecolind.2021.107934,https://doi.org/10.6073/pasta/be42bb841e696b7bcad9957aed33db5e,Secondary,,FN,FN,TP
10.1038_s41598-020-59839-x,ENSOARG00000002239,,Secondary,FP,FP,TP
10.1038_s41597-022-01555-4,https://doi.org/10.7937/tcia.e3sv-re93,,Primary,TP,FP,TP
10.1016_j.molcel.2018.11.006,GSE69140,,Secondary,FP,FP,TP
10.7554_elife.73695,https://doi.org/10.5061/dryad.p5hqbzkqf,Primary,Primary,TP,TP,TP
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.be7krr,,Primary,TP,FP,TP
10.3133_cir1497,https://doi.org/10.5066/f7930sg7,Secondary,,TP,FN,TP
10.1002_2017jc013030,https://doi.org/10.17882/47142,,Primary,FP,FP,TP
10.1128_JVI.01717-21,EPI_ISL_445001,,Secondary,TP,FP,TP
10.1186_s12860-020-00261-6,PXD016241,,Secondary,FP,FP,FP
10.1029_2019jg005297,https://doi.org/10.5066/f78s4n1v,,Primary,TP,FP,TP
10.3389_fmicb.2024.1456637,SAMN07159044,,Primary,TP,FP,TP
10.1186_s12862-019-1388-1,https://doi.org/10.1895/wormbook.1.137.1,,Primary,FP,FP,FP
10.1128_spectrum.00422-24,K02412,Secondary,Secondary,TP,TP,TP
10.1080_21645515.2023.2189598,NM_001194422,,Secondary,FP,FP,TP
10.7717_peerj.10452,SAMN16233652,Primary,Primary,TP,TP,TP
10.1186_s40169-019-0253-6,https://doi.org/10.1227/neu.0b013e3182233e24,,Primary,FP,FP,FP
10.7717_peerj.10452,SAMN16233659,Primary,Primary,TP,TP,TP
10.1098_rspb.2015.1498,https://doi.org/10.5061/dryad.rj7g1,Primary,Primary,TP,TP,TP
10.1186_s12885-018-4314-9,https://doi.org/10.4149/neo_2010_01_035,,Primary,FP,FP,FP
10.1111_1365-2656.12594,https://doi.org/10.5061/dryad.gb5mkkwk8,,Primary,FP,FP,TP
10.1186_s12859-016-0922-z,SRP023548,,Secondary,FP,FP,FP
10.3133_cir1497,https://doi.org/10.3996/062017-jfwm-050,,Primary,FP,FP,TP
10.1186_s12918-018-0564-z,GSE54129,,Secondary,FP,FP,FP
10.1080_15476286.2016.1232238,E-MTAB-4545,,Secondary,FP,FP,FP
10.3390_v11060565,EPI954557,Secondary,Secondary,TP,TP,TP
10.1016_j.ast.2022.107401,https://doi.org/10.17862/cranfield.rd.19146182.v1,Primary,,FN,FN,TP
10.1039_d2cc00847e,https://doi.org/10.5281/zenodo.6010341,Primary,,FN,FN,TP
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.dcatgu,Secondary,,TP,FN,TP
10.1002_ecs2.1280,https://doi.org/10.5061/dryad.p3fg9,Primary,Primary,TP,TP,TP
10.1002_ece3.6784,https://doi.org/10.25225/fozo.v66.i1.a4.2017,,Primary,FP,FP,FP
10.1186_s40851-018-0089-8,https://doi.org/10.2754/avb201281040383,,Primary,FP,FP,FP
10.1128_spectrum.00422-24,PF03963,Secondary,Secondary,TP,TP,TP
10.1128_JVI.01717-21,EPI_ISL_293291,Primary,,TP,FN,TP
10.1038_s41597-019-0101-y,SAMN10880021,,Primary,FP,FP,TP
10.1186_s12859-018-2263-6,GSE66499,,Secondary,FP,FP,FP
10.12688_f1000research.13064.1,https://doi.org/10.5256/f1000research.14163.r27918,,Primary,FP,FP,TP
10.3389_fpls.2023.1160645,https://doi.org/10.7235/hort.20200076,,Primary,FP,FP,TP
10.7717_peerj.13193,https://doi.org/10.6073/pasta/02e2764efb408a8b66b7f486eac14dc0,,Primary,TP,FP,TP
10.7554_eLife.63194,PF02171,Secondary,Secondary,TP,TP,TP
10.1186_s12920-019-0646-9,https://doi.org/10.1302/2046-3758.77.bjr-2017-0274.r1,,Primary,FP,FP,FP
10.1111_ddi.13153,https://doi.org/10.25226/bboc.v138i3.2018.a2,,Primary,FP,FP,FP
10.1111_1365-2745.13449,https://doi.org/10.5061/dryad.r7sqv9s8n,Primary,Primary,TP,TP,TP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr36795.v1,Secondary,,TP,FN,TP
10.1093_nar_gkp1049,3.30.930.10,Secondary,,FN,FN,TP
10.1128_spectrum.00422-24,K02404,Secondary,Secondary,TP,TP,TP
10.1186_s12870-019-1632-2,erp094,,Secondary,FP,FP,FP
10.1111_1365-2656.12382,https://doi.org/10.5061/dryad.r390f,Primary,Primary,TP,TP,TP
10.3390_v11060565,EPI1387245,Primary,,TP,FN,TP
10.1016_j.jlp.2022.104761,https://doi.org/10.2172/918751,,Primary,FP,FP,TP
10.3389_fmicb.2024.1456637,SAMN33094112,,Primary,FP,FP,TP
10.1002_ece3.6303,https://doi.org/10.5061/dryad.37pvmcvgb,Primary,Primary,TP,TP,TP
10.3389_fcimb.2024.1292467,EPI_ISL_2402571,Secondary,Secondary,TP,TP,TP
10.1038_s41598-020-59839-x,ENSOARG00000013966,Secondary,Secondary,TP,TP,TP
10.3133_cir1497,https://doi.org/10.5066/p9hdxe32,,Primary,TP,FP,TP
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.qm4v2t,Secondary,,TP,FN,TP
10.21105_joss.04237,https://doi.org/10.5067/modis/mod13a2.006,Secondary,,TP,FN,TP
10.1029_2021gl096173,https://doi.org/10.25326/09,Secondary,,TP,FN,TP
10.3133_ofr20201035,https://doi.org/10.5066/p9zudioh,Primary,Primary,TP,TP,TP
10.3390_microorganisms8121872,CHEMBL3960662,Secondary,Secondary,TP,TP,TP
10.1101_096297,https://doi.org/10.5281/zenodo.817658,Primary,Primary,TP,TP,TP
10.1093_evolut_qpad206,PRJNA1009132,,Secondary,FP,FP,TP
10.1016_j.jlp.2022.104761,https://doi.org/10.23642/usn.15134442.v1,Primary,Primary,TP,TP,TP
10.1128_spectrum.00422-24,K02416,,Secondary,FP,FP,TP
10.3390_rs12121957,https://doi.org/10.1594/pangaea.917588,,Primary,TP,FP,TP
10.5194_essd-2019-206,https://doi.org/10.14358/pers.81.5.345,,Primary,FP,FP,TP
10.3389_fmicb.2024.1456637,SAMN12620691,,Primary,TP,FP,TP
10.1186_s13073-020-00727-4,https://doi.org/10.1288/00005537-199203000-00003,,Primary,FP,FP,FP
10.1029_2023wr035126,https://doi.org/10.5281/zenodo.839854,,Primary,FP,FP,TP
10.21105_joss.04237,https://doi.org/10.5281/zenodo.3946761,,Primary,FP,FP,TP
10.1111_mec.16743,PRJNA794822,,Secondary,FP,FP,TP
10.3389_fmicb.2024.1456637,SAMN09534374,,Primary,TP,FP,TP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr35020.v1,Secondary,,TP,FN,TP
10.1212_wnl.0000000000006035,PXD009578,,Secondary,FP,FP,TP
10.1128_JVI.01717-21,EPI_ISL_291131,Primary,,TP,FN,TP
10.1080_22221751.2020.1738277,GSE139516,,Secondary,FP,FP,FP
10.1136_jitc-2021-003114,CVCL_2235,Secondary,Secondary,TP,TP,TP
10.1186_s12859-018-2263-6,GSE37147,,Secondary,FP,FP,FP
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.6qzmh7,,Primary,TP,FP,TP
10.1107_s2059798322005691,https://doi.org/10.18150/t0wc49,,Primary,FP,FP,TP
10.1186_s12870-019-1904-x,erp026,,Secondary,FP,FP,FP
10.1186_s12859-016-0922-z,SRR950081,,Secondary,FP,FP,FP
10.1029_2020jf005675,https://doi.org/10.5066/p9bu8faq,Primary,Primary,TP,TP,TP
10.1186_s13059-019-1924-8,GSE72816,,Secondary,FP,FP,FP
10.1002_chem.202001668,K03946,,Secondary,FP,FP,FP
10.1111_cas.12935,P51884,Secondary,,FN,FN,TP
10.3133_ofr20201035,https://doi.org/10.2173/bna,,Primary,FP,FP,TP
10.1128_spectrum.00422-24,K02419,,Secondary,FP,FP,TP
10.1038_s41598-020-59839-x,ENSBTAG00000047833,Secondary,Secondary,TP,TP,TP
10.1038_s41597-023-02280-2,https://doi.org/10.5281/zenodo.3672421,,Primary,FP,FP,TP
10.1016_j.dib.2023.109949,https://doi.org/10.5281/zenodo.8338991,Primary,Primary,TP,TP,TP
10.3390_molecules25010053,https://doi.org/10.3762/bjoc.12.221,,Primary,FP,FP,FP
10.1186_s13072-019-0285-6,PRJNA522350,,Secondary,FP,FP,FP
10.1038_s41597-019-0101-y,SAMN10880025,,Primary,FP,FP,TP
10.1186_s12864-019-5872-1,ENSDARG00000043963,,Secondary,FP,FP,FP
10.1186_s12918-018-0564-z,https://doi.org/10.1245/s10434-016-5645-x,,Primary,FP,FP,FP
10.1186_s11658-018-0120-2,GSE2280,,Secondary,FP,FP,FP
10.1186_s13024-018-0266-4,GSE65067,,Secondary,FP,FP,FP
10.1186_s12885-018-4314-9,GSE22226,,Secondary,FP,FP,FP
10.3389_fcell.2020.618552,https://doi.org/10.5281/zenodo.4311473,Primary,Primary,TP,TP,TP
10.5194_amt-15-3969-2022,https://doi.org/10.24381/cds.bd0915c6,,Primary,FP,FP,TP
10.1029_2021ea001703,https://doi.org/10.25249/0375-7536.1990333335,,Primary,FP,FP,TP
10.1371_journal.pone.0159387,PRJNA10687,Secondary,Secondary,TP,TP,TP
10.3133_ofr20231026,https://doi.org/10.5066/p918e2p3,,Primary,TP,FP,TP
10.1186_s12866-019-1542-3,NC_007530.2,,Secondary,FP,FP,FP
10.1128_spectrum.00422-24,K03406,,Secondary,FP,FP,TP
10.3390_microorganisms8121872,CHEMBL198796,Secondary,Secondary,TP,TP,TP
10.1186_s12918-018-0620-8,PXD008153,,Secondary,FP,FP,FP
10.1186_s12974-020-01860-y,BX003377,,Secondary,FP,FP,FP
10.1186_s12870-019-1632-2,https://doi.org/10.5923/j.ajbe.20120205.03,,Primary,FP,FP,FP
10.1186_s12859-017-1952-x,SRR1508275,,Secondary,FP,FP,FP
10.1017_s0007123423000601,https://doi.org/10.7910/dvn/fwckse,Primary,Primary,TP,TP,TP
10.3390_v11060565,EPI1018206,Secondary,Secondary,TP,TP,TP
10.7554_eLife.63194,SRR2429147,Secondary,Secondary,TP,TP,TP
10.7717_peerj.13193,https://doi.org/10.6073/pasta/02e2764efb408a8b66b7f486eac14dc0,Secondary,,TP,FN,TP
10.7554_eLife.63194,PF03368,Secondary,Secondary,TP,TP,TP
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.txwcpa,,Primary,TP,FP,TP
10.1038_s41598-021-85671-y,https://doi.org/10.7937/tcia.2019.8kap372n,Secondary,,TP,FN,TP
10.1016_j.jlp.2022.104761,https://doi.org/10.1149/08901.0073ecst,,Primary,FP,FP,TP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr27646.v1,,Primary,TP,FP,TP
10.1186_s12913-018-3333-1,https://doi.org/10.2471/blt.12.105445,,Primary,FP,FP,FP
10.1186_s12885-019-5681-6,CVCL_1785,,Secondary,FP,FP,FP
10.1016_j.molcel.2018.11.006,https://doi.org/10.17632/jb4jjxsbb7.1,Primary,Primary,TP,TP,TP
10.3390_microorganisms8121872,CHEMBL561,Secondary,Secondary,TP,TP,TP
10.1186_s13073-019-0709-8,https://doi.org/10.5114/aoms.2010.13899,,Primary,FP,FP,FP
10.1371_journal.pone.0139215,https://doi.org/10.5061/dryad.27m63.1,Primary,,FN,FN,TP
10.3389_fcimb.2024.1292467,EPI_ISL_2340626,Secondary,Secondary,TP,TP,TP
10.1021_acscentsci.1c01109,https://doi.org/10.21942/uva.17040392,Primary,Primary,TP,TP,TP
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.gtnw2a,Secondary,,TP,FN,TP
10.1111_1365-2664.13446,https://doi.org/10.1675/1524-4695,,Primary,FP,FP,TP
10.21105_joss.04237,https://doi.org/10.5067/zx7yx2y2lheb,Secondary,,TP,FN,TP
10.1371_journal.pcbi.1011828,https://doi.org/10.1377/hlthaff.2017.1558,,Primary,FP,FP,TP
10.1590_1516-3180.2018.0270071218,https://doi.org/10.7322/abcs.v37i1.42,,Primary,FP,FP,FP
10.1186_s12863-019-0790-4,https://doi.org/10.2166/wst.2013.424,,Primary,FP,FP,FP
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr36398.v1,,Primary,TP,FP,TP
10.1016_j.molcel.2018.11.006,HPA038237,,Secondary,FP,FP,TP
10.12688_f1000research.13622.1,https://doi.org/10.5256/f1000research.13622.d194233,Primary,Primary,TP,TP,TP
10.1371_journal.pone.0159387,PRJNA74123,Secondary,Secondary,TP,TP,TP
